PR	201	1367
PS	1	4
PU	31	159
PY	1	4
AB	19	106
AC	61	413
AD	46	278
QU	31	190
AF	13	69
AG	8	36
AH	1	3
AI	7	22
AK	1	2
AL	42	241
AM	15	79
AN	43	246
AP	37	264
RA	35	164
AR	48	291
AS	42	266
AT	19	113
RE	324	2103
AU	16	104
AV	11	52
AW	3	8
AX	1	2
RI	14	52
RO	38	152
BA	36	142
BE	50	226
RU	8	26
BI	24	108
BL	10	42
BO	34	132
SA	34	161
BR	36	163
SC	33	186
SE	94	478
BU	23	90
SH	46	195
SI	56	296
BY	6	33
SK	10	46
SL	14	58
SM	5	21
SN	2	8
SO	37	166
SP	53	292
CA	72	362
SQ	2	9
ST	107	539
CE	20	110
SU	115	797
SW	14	57
CH	52	322
CI	19	118
SY	14	88
CL	42	218
CO	361	2667
TA	34	125
CR	31	166
TE	55	310
CU	29	148
TH	58	274
TI	25	81
CY	5	19
TO	30	128
DA	23	83
TR	105	629
DE	191	1190
TU	7	25
TW	4	12
DI	129	888
TY	8	39
DO	32	156
UB	2	14
DR	19	88
DU	12	54
DW	2	7
DY	3	20
UL	1	8
UN	92	653
UP	10	46
EA	11	39
EC	6	44
US	11	33
ED	10	49
UT	1	5
EF	11	80
EG	3	6
EI	5	26
EL	26	170
EM	28	187
EN	71	432
EP	2	8
VA	30	148
EQ	10	67
ER	4	13
ES	15	110
ET	2	12
VE	24	135
EU	2	10
EV	25	132
EX	130	872
VI	32	162
EY	1	1
VO	9	38
FA	49	234
FE	17	71
FI	44	184
FL	24	99
FO	56	278
WA	28	102
FR	32	178
WE	19	66
FU	13	87
WH	19	77
WI	28	100
WO	27	117
GA	16	56
WR	10	39
GE	35	226
GI	7	25
GL	7	35
GO	10	34
GR	41	175
GU	16	91
HA	41	169
HE	28	106
HI	28	144
HO	25	99
YA	1	3
YE	5	11
HU	6	25
YI	2	7
HY	6	44
YO	4	12
ID	18	109
IG	4	20
IL	8	62
IM	47	323
IN	273	2122
IR	3	28
IS	9	52
IT	11	58
ZE	1	2
ZO	2	6
JA	3	7
JE	3	7
JO	6	11
JU	14	78
KE	11	39
KI	7	24
KN	7	25
KR	1	3
LA	35	126
LE	45	181
LI	49	240
LO	43	179
LU	1	4
LY	1	4
MA	96	520
ME	50	256
MI	49	251
MO	58	306
MU	21	156
MY	3	17
NA	16	72
NE	43	229
NI	3	8
NO	43	247
NT	1	1
NU	15	79
OB	16	96
OC	15	91
OD	1	1
OF	9	34
OI	1	1
OL	3	8
OM	7	32
ON	5	9
OP	27	159
OR	23	146
OT	3	14
OU	22	116
OV	26	186
OW	1	1
OX	1	4
PA	79	407
PE	50	323
PH	15	90
PI	23	95
PL	32	135
PO	55	285
