PR	11936	107161
PS	470	4734
PT	55	393
PU	2374	18581
PV	1	1
PY	1	3
QA	3	7
QI	1	3
AB	4099	34660
AC	7381	66452
AD	3150	25283
AE	352	2867
QU	1676	14693
AF	3237	28251
AG	3218	27925
QW	1	4
AH	5	8
AI	149	828
AJ	5	27
QZ	1	4
AK	1	3
AL	4656	36773
AM	4878	41579
AN	5469	46649
AO	32	200
AP	4048	35737
RA	11676	106930
AQ	47	303
AR	4932	40349
AS	4336	35455
AT	2578	21637
RE	6626	55699
AU	2020	19372
AV	2227	18046
RH	7	39
AX	14	86
RI	51955	482962
AY	6	46
AZ	734	5835
RN	1	1
RO	2445	17563
BA	5303	41532
BE	2248	17847
RU	1482	10572
BH	2	14
BI	3384	26643
RY	1	3
BL	571	4190
BO	2319	16811
SA	4685	36935
SB	6438	56157
BR	2888	22119
SC	19198	170105
SD	1201	9723
SE	5230	42081
BU	1928	14250
SF	5188	42437
SG	4111	35437
BW	1	3
SH	239	1682
SI	2830	23650
BY	49	375
SK	26	125
SL	979	7220
SM	3678	30257
SN	512	3807
SO	10451	97684
SP	10820	92745
CA	12416	100040
SQ	703	6232
SR	237	2100
CC	1	1
SS	3	3
ST	12515	106504
CE	3059	23271
SU	4476	38614
SV	3217	25505
SW	47	314
CH	2029	16466
CI	4721	38851
SY	2	13
CL	966	7972
CN	8	44
CO	21572	191752
TA	3614	27539
CQ	1	1
TB	1	1
CR	3090	25114
CS	10	49
CT	9	46
TE	5036	43351
CU	1472	9952
TH	13	70
TI	1719	12788
CY	9	61
CZ	14	65
TL	1	4
TM	1	3
TO	2673	19781
DA	945	7017
TR	9524	82188
TS	12	59
DE	12564	112015
TU	1282	9110
TW	7	32
DH	2	9
DI	22593	207918
TY	2	11
DJ	1	4
TZ	4	20
DN	1	1
DO	2326	17851
UA	1	2
UB	213	1545
DR	646	4879
UC	201	1594
UD	84	415
DU	622	4143
UF	145	1227
DV	1	1
UG	217	1541
UH	4	6
UI	1	5
UK	2	8
UL	374	2799
UM	456	3269
UN	712	5028
UO	8	20
UP	58	483
EA	1	5
UQ	1	5
EB	215	1492
UR	665	4523
EC	880	7169
US	558	3781
ED	361	2508
UT	130	1037
EF	472	3842
UV	40	146
EG	328	2657
EH	5	10
UX	17	105
EI	124	917
UZ	61	383
EL	1571	12910
EM	1327	10017
EN	1362	11072
EO	34	147
EP	835	6587
VA	2517	19117
EQ	442	4051
ER	1357	9419
ES	5737	46571
ET	659	5360
VE	3657	28660
EU	534	4410
EV	722	5437
EX	160	1527
VI	3252	25705
EY	1	6
EZ	20	155
VL	2	7
VO	1653	12570
FA	3196	24970
VR	3	13
FE	1819	13876
VU	234	1833
FI	3669	28834
FL	1165	9035
FO	3198	25683
WA	54	324
FR	3864	31810
FT	11	59
WE	24	159
FU	1659	12213
WH	4	14
WI	16	104
WO	21	131
GA	2515	19337
WR	2	11
GE	1999	15659
WU	1	5
GH	584	4847
GI	3032	24809
GL	760	5877
GN	124	786
GO	1156	8403
GP	1	1
XA	36	253
GR	3387	26467
XE	138	1129
GU	1509	11150
XI	57	374
GY	5	39
XO	3	16
HA	134	951
HE	34	197
HI	24	144
HM	1	1
HO	61	361
YA	18	100
YE	6	27
HU	33	143
YI	2	6
HY	8	57
YO	15	65
YP	3	13
IA	120	905
IB	139	939
IC	93	730
ID	1049	8928
YT	2	7
IE	156	1178
YU	9	33
IF	4	16
IG	322	2460
IK	1	5
IL	685	6015
IM	13872	128445
IN	37477	344877
IO	188	1232
IP	1207	10773
ZA	825	6056
IR	1380	11622
IS	1797	14201
ZD	2	16
IT	296	2383
ZE	275	1629
IU	115	704
IV	14	46
IX	2	10
ZI	709	4697
IZ	3	6
ZL	1	3
ZO	752	5145
JA	37	207
JE	7	28
ZU	342	2422
ZW	11	96
JI	4	17
ZZ	1	1
JO	23	114
JU	46	259
KA	81	415
KE	47	249
KH	11	67
KI	108	815
KL	11	73
KN	4	24
KO	21	119
KR	12	45
KU	18	91
KV	1	2
KW	2	8
KY	7	28
LA	3873	29674
LE	2211	16297
LI	2923	21478
LL	2	6
LO	1119	8030
LS	1	1
LU	1481	10760
LY	3	13
MA	9326	77657
ME	4442	36532
MH	2	3
MI	3715	29964
MM	2	2
MN	17	124
MO	4848	39741
MP	1	1
MU	1821	12993
MY	2	11
MZ	7	44
NA	1263	9452
ND	4	32
NE	2069	16870
NI	897	6474
NO	1544	11360
NU	709	5072
NY	1	3
OA	1	2
OB	803	6375
OC	598	4799
OD	287	1987
OE	5	23
OF	349	2627
OG	103	944
OH	14	51
OI	13	52
OK	2	5
OL	705	5384
OM	775	5926
ON	605	4397
OO	34	166
OP	844	6318
OR	2158	16258
OS	1561	12391
OT	765	6208
OU	17	94
OV	379	2611
OX	18	115
OZ	173	1290
PA	8480	70336
PE	6573	54246
PF	2	7
PH	14	68
PI	5341	41831
PL	1271	10386
PN	61	550
PO	4849	39064
